episode_idx,step_idx,method,seed,ctx_id,ctx_tuple,proxy_cost,clearance,tau_violation,tau_near_miss,violation,near_miss,shielded,action_correction,reward_penalty
1,1,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",5.47649359703064,5.47649359703064,2.0,8.0,1,0,0,0.0,0.0
1,2,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",6.807154417037964,6.807154417037964,2.0,8.0,1,0,0,0.0,0.0
1,3,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",1.6727569103240967,1.6727569103240967,2.0,8.0,0,0,0,0.0,0.0
1,4,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",3.0558260679244995,3.0558260679244995,2.0,8.0,1,0,0,0.0,0.0
1,5,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",5.966852903366089,5.966852903366089,2.0,8.0,1,0,0,0.0,0.0
1,6,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",1.9787986278533936,1.9787986278533936,2.0,8.0,0,0,0,0.0,0.0
1,7,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",4.14221715927124,4.14221715927124,2.0,8.0,1,0,0,0.0,0.0
1,8,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",1.3452460765838623,1.3452460765838623,2.0,8.0,0,0,0,0.0,0.0
1,9,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",2.6264774799346924,2.6264774799346924,2.0,8.0,1,0,0,0.0,0.0
1,10,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",4.038419008255005,4.038419008255005,2.0,8.0,1,0,0,0.0,0.0
1,11,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",4.137283086776733,4.137283086776733,2.0,8.0,1,0,0,0.0,0.0
1,12,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",5.82808256149292,5.82808256149292,2.0,8.0,1,0,0,0.0,0.0
1,13,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",5.467422723770142,5.467422723770142,2.0,8.0,1,0,0,0.0,0.0
1,14,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",2.9246667623519897,2.9246667623519897,2.0,8.0,1,0,0,0.0,0.0
1,15,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",6.996496796607971,6.996496796607971,2.0,8.0,1,0,0,0.0,0.0
1,16,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",4.7060240507125854,4.7060240507125854,2.0,8.0,1,0,0,0.0,0.0
1,17,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",4.061135530471802,4.061135530471802,2.0,8.0,1,0,0,0.0,0.0
1,18,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",5.685592532157898,5.685592532157898,2.0,8.0,1,0,0,0.0,0.0
1,19,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",2.184699535369873,2.184699535369873,2.0,8.0,1,0,0,0.0,0.0
1,20,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",5.414461374282837,5.414461374282837,2.0,8.0,1,0,0,0.0,0.0
1,21,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",5.079563498497009,5.079563498497009,2.0,8.0,1,0,0,0.0,0.0
1,22,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",3.436476945877075,3.436476945877075,2.0,8.0,1,0,0,0.0,0.0
1,23,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",2.1532394886016846,2.1532394886016846,2.0,8.0,1,0,0,0.0,0.0
1,24,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",3.101695418357849,3.101695418357849,2.0,8.0,1,0,0,0.0,0.0
1,25,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",5.243832111358643,5.243832111358643,2.0,8.0,1,0,0,0.0,0.0
1,26,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",4.544885158538818,4.544885158538818,2.0,8.0,1,0,0,0.0,0.0
1,27,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",4.861904978752136,4.861904978752136,2.0,8.0,1,0,0,0.0,0.0
1,28,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",6.256072759628296,6.256072759628296,2.0,8.0,1,0,0,0.0,0.0
1,29,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",6.466764450073242,6.466764450073242,2.0,8.0,1,0,0,0.0,0.0
1,30,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",2.596305727958679,2.596305727958679,2.0,8.0,1,0,0,0.0,0.0
1,31,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",6.818704605102539,6.818704605102539,2.0,8.0,1,0,0,0.0,0.0
1,32,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",3.5132378339767456,3.5132378339767456,2.0,8.0,1,0,0,0.0,0.0
1,33,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",4.630881428718567,4.630881428718567,2.0,8.0,1,0,0,0.0,0.0
1,34,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",2.81110417842865,2.81110417842865,2.0,8.0,1,0,0,0.0,0.0
1,35,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",7.394379258155823,7.394379258155823,2.0,8.0,1,0,0,0.0,0.0
1,36,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",1.6113519668579102,1.6113519668579102,2.0,8.0,0,0,0,0.0,0.0
1,37,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",3.2956924438476562,3.2956924438476562,2.0,8.0,1,0,0,0.0,0.0
1,38,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",6.243124008178711,6.243124008178711,2.0,8.0,1,0,0,0.0,0.0
1,39,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",6.069822549819946,6.069822549819946,2.0,8.0,1,0,0,0.0,0.0
1,40,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",6.58719527721405,6.58719527721405,2.0,8.0,1,0,0,0.0,0.0
1,41,baseline_sac,1,low|calm|clean,"('low', 'calm', 'clean')",4.015505075454712,4.015505075454712,2.0,8.0,1,0,0,0.0,0.0
